[13:34:58] ============================================================
[13:34:58] [REALTIME MONITOR] Started - 10s interval
[13:34:58] ============================================================
[13:34:59] Price: $1960.00 | Vol: 1150 | Change: +0.02% | Status: Normal
[13:35:09] Price: $1960.16 | Vol: 140 | Change: +0.02% | Status: Normal
[13:35:19] Price: $1960.83 | Vol: 553 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:35:30] Price: $1960.91 | Vol: 798 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:35:40] Price: $1960.90 | Vol: 855 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:35:50] Price: $1960.91 | Vol: 1113 | Change: +0.06% | Status: 🚨 SPIKE DETECTED
[13:36:00] Price: $1960.73 | Vol: 1154 | Change: +0.05% | Status: 🚨 SPIKE DETECTED
[13:36:10] Price: $1961.18 | Vol: 67 | Change: +0.02% | Status: Normal
[13:36:20] Price: $1961.29 | Vol: 108 | Change: +0.03% | Status: Normal
[13:36:30] Price: $1961.21 | Vol: 519 | Change: +0.02% | Status: Normal
[13:36:40] Price: $1960.75 | Vol: 1702 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[13:36:50] Price: $1960.73 | Vol: 1728 | Change: +0.00% | Status: 🚨 SPIKE DETECTED
[13:37:00] Price: $1961.07 | Vol: 1840 | Change: +0.02% | Status: 🚨 SPIKE DETECTED
[13:37:10] Price: $1961.06 | Vol: 20 | Change: -0.00% | Status: Normal
[13:37:20] Price: $1960.78 | Vol: 96 | Change: -0.01% | Status: Normal
[13:37:30] Price: $1960.99 | Vol: 211 | Change: -0.00% | Status: Normal
[13:37:40] Price: $1960.87 | Vol: 339 | Change: -0.01% | Status: Normal
[13:37:50] Price: $1960.72 | Vol: 382 | Change: -0.02% | Status: Normal
[13:38:00] Price: $1960.28 | Vol: 446 | Change: -0.04% | Status: Normal
[13:38:10] Price: $1960.08 | Vol: 270 | Change: -0.01% | Status: Normal
[13:38:20] Price: $1960.26 | Vol: 382 | Change: -0.00% | Status: Normal
[13:38:30] Price: $1960.22 | Vol: 412 | Change: -0.00% | Status: Normal
[13:38:40] Price: $1960.53 | Vol: 666 | Change: +0.01% | Status: Normal
[13:38:51] Price: $1960.52 | Vol: 680 | Change: +0.01% | Status: Normal
[13:39:01] Price: $1960.39 | Vol: 727 | Change: +0.01% | Status: Normal
[13:39:11] Price: $1960.38 | Vol: 16 | Change: +0.00% | Status: Normal
[13:39:21] Price: $1960.21 | Vol: 80 | Change: -0.01% | Status: Normal
[13:39:31] Price: $1960.38 | Vol: 109 | Change: +0.00% | Status: Normal
[13:39:41] Price: $1960.39 | Vol: 117 | Change: +0.00% | Status: Normal
[13:39:51] Price: $1960.21 | Vol: 130 | Change: -0.01% | Status: Normal
[13:40:01] Price: $1960.08 | Vol: 149 | Change: -0.02% | Status: Normal
[13:40:11] Price: $1959.80 | Vol: 47 | Change: +0.01% | Status: Normal
[13:40:21] Price: $1959.73 | Vol: 56 | Change: +0.00% | Status: Normal
[13:40:31] Price: $1959.68 | Vol: 160 | Change: +0.00% | Status: Normal
[13:40:41] Price: $1959.59 | Vol: 183 | Change: -0.00% | Status: Normal
[13:40:51] Price: $1959.58 | Vol: 222 | Change: -0.00% | Status: Normal
[13:41:01] Price: $1959.54 | Vol: 287 | Change: -0.01% | Status: Normal
[13:41:11] Price: $1959.55 | Vol: 20 | Change: +0.00% | Status: Normal
[13:41:21] Price: $1959.69 | Vol: 172 | Change: +0.01% | Status: Normal
[13:41:31] Price: $1959.65 | Vol: 248 | Change: +0.01% | Status: Normal
[13:41:41] Price: $1959.64 | Vol: 265 | Change: +0.00% | Status: Normal
[13:41:52] Price: $1959.65 | Vol: 266 | Change: +0.01% | Status: Normal
[13:42:02] Price: $1959.65 | Vol: 273 | Change: +0.01% | Status: Normal
[13:42:12] Price: $1959.64 | Vol: 6 | Change: +0.00% | Status: Normal
[13:42:22] Price: $1960.09 | Vol: 79 | Change: +0.02% | Status: Normal
[13:42:32] Price: $1960.18 | Vol: 105 | Change: +0.03% | Status: Normal
[13:42:42] Price: $1960.18 | Vol: 113 | Change: +0.03% | Status: Normal
[13:42:52] Price: $1960.46 | Vol: 176 | Change: +0.04% | Status: Normal
[13:43:02] Price: $1960.68 | Vol: 184 | Change: +0.05% | Status: Normal
